image_id,label_name,text_description,label
24050,Tshirts,Locomotive Men Printed Blue T-shirt,0
13967,Tshirts,Ed Hardy Men Printed Red Tshirts,0
4256,Tshirts,Inkfruit Men Grey Melange Printed T-shirt,0
50194,Tshirts,Gini and Jony Boys Black T-shirt,0
58372,Tshirts,Locomotive Men Beige T-shirt,0
4361,Tshirts,Free Authority Men's Melting Times Blue T-shirt,0
4319,Tshirts,Tantra Kid's Unisex Free Spirit Turquoise Kidswear,0
9961,Tshirts,Nike Men Medals Crew White T-Shirts,0
6724,Tshirts,Locomotive Men's Print Electric Supply Blue T-shirt,0
3110,Tshirts,Probase Men's Western Highway Black T-shirt,0
13966,Tshirts,Ed Hardy Men Solid White Tshirts,0
6272,Tshirts,UCB Men's Contrast Rib Grey T-shirt,0
7988,Tshirts,Fila Men's Round Neck Yellow Black T-shirt,0
22330,Tshirts,John Players Men Stripes White T-Shirt,0
37155,Tshirts,Campbell Men Pack of 3 T-shirt,0
29247,Tshirts,ADIDAS Men Lakers Yellow Jersey,0
8340,Tshirts,Doodle Boy's Volleyball Champion Black White Kidswear,0
53118,Tshirts,Myntra Women Pink T-shirt,0
4082,Tshirts,Inkfruit Men's Avast Ye Beige T-shirt,0
7012,Tshirts,Classic Polo Men's Green Polo With Grey Stripes T-shirt,0
12884,Tshirts,Spykar Men Helmet Grey T-Shirts,0
28844,Tshirts,Proline Men Charcoal T-shirt,0
2091,Tshirts,ADIDAS Mens ESS 3S Polo T-shirt,0
10993,Tshirts,Inkfruit Men Tea Kwon Do Grey Tshirts,0
3779,Tshirts,Status Quo Men's Black Polo T-shirt,0
33304,Tshirts,Gini and Jony Boys Pack of 2 T-shirts,0
2743,Tshirts,Classic Polo Men's White T-shirt,0
2847,Tshirts,Mr.Men Men's Is There More Love Purple T-shirt,0
10465,Tshirts,Flying Machine Men Paisley Purple Tshirts,0
7749,Tshirts,Indigo Nation Men Young Lords Purple T-shirt,0
51370,Tshirts,Spykar Men Black T-shirt,0
37532,Tshirts,Madagascar3 Infant Boys Light Blue T-Shirt,0
4209,Tshirts,Disney Kids Boy's Green Mickey On Skates Kidswear,0
2615,Tshirts,Nike Black Bleed Blue T-shirt,0
31102,Tshirts,Gini and jony Boys Printed Red T-shirt,0
6207,Tshirts,Lee Men's Sheild White T-shirt,0
7817,Tshirts,Proline Men Purple Striped Polo T-shirt,0
23973,Tshirts,Peter England Men Purple Printed T-shirt,0
4371,Tshirts,Mickey Men's Pluto Order Comic Charcoal T-shirt,0
3082,Tshirts,Probase Men's Cartoon Navy T-shirt,0
24275,Tshirts,Quiksilver Men Basic White T-shirt,0
28565,Tshirts,Nike Men Air Bags Blue T-shirt,0
9783,Tshirts,ADIDAS Men Bnce Hop White Tshirts,0
34410,Tshirts,Myntra Men Freak Show Black T-shirt,0
57424,Tshirts,Angry Birds Women Charcoal T-shirt,0
38605,Tshirts,Nike Men Yellow Eligible Athlete T-shirt,0
6551,Tshirts,Nike Men's Miler Singlet Blue T-shirt,0
2861,Tshirts,Inkfruit Men's I am Hooked Green T-shirt,0
32768,Tshirts,Music Men Printed Grey T-shirt,0
42394,Tshirts,Flying Machine Women Purple T-shirt,0
2092,Tshirts,ADIDAS Mens Polo Blue Polo T-shirt,0
23627,Tshirts,Beatles Men White Printed T-Shirt,0
40974,Tshirts,Gini and Jony Boys United Green T-shirt,0
33935,Tshirts,ADIDAS Men Polo Turquoise Blue T-Shirt,0
13438,Tshirts,United Colors of Benetton Men Solid Blue Polo T-shirts,0
31586,Tshirts,Mark Taylor Men Printed Yellow T-shirt,0
44834,Tshirts,Puma Men Black Training T-shirt,0
4315,Tshirts,Tantra Kid's Unisex Harappa Choco Brown Kidswear,0
34399,Tshirts,Myntra Men Global Response Black T-shirt,0
15933,Tshirts,Regent Polo Club Men Solid Blue Tshirt,0
35880,Tshirts,Jungle Book Boys Royal White T-shirt,0
11356,Tshirts,United Colors Of Benetton Women Light Winter Peach Peach T-Shirt,0
2054,Tshirts,Lee Men's Stone T-shirt,0
4402,Tshirts,Billy Idol Men's Faceless Black T-shirt,0
5442,Tshirts,Nike Women's Striped Polo Blue T-shirt,0
41752,Tshirts,Doodle Boys Printed Yellow T-shirt,0
29157,Tshirts,United Colors of Benetton Boys Hopeland Pink T-shirt,0
44904,Tshirts,Puma Men Navy Blue & White Graphic T-shirt,0
9974,Tshirts,Nike Men Black Polo Tshirts,0
7291,Tshirts,Mickey Men's Donald Salute Star Brown T-shirt,0
24841,Tshirts,Wildcraft Women Yellow Printed T-shirt,0
19397,Tshirts,ADIDAS Men Solid Blue T-Shirt,0
31148,Tshirts,Gini and Jony Boys Printed White T-shirt,0
4359,Tshirts,Free Authority Men's Melting Records Black T-shirt,0
23638,Tshirts,DC Comics Men Green T-shirt,0
13429,Tshirts,United Colors of Benetton Men Printed Maroon Tshirts,0
38152,Tshirts,Wildcraft Women White T-shirt,0
6063,Tshirts,UCB Men's Roundneck Take Good Look White T-shirt,0
27445,Tshirts,Jockey Women Coffee Brown T-shirt,0
2484,Tshirts,Puma Women Spagetti White Top,0
24029,Tshirts,Locomotive Men Grey Printed T-shirt,0
3060,Tshirts,Tantra Men's Imagine Beige T-shirt,0
34314,Tshirts,Myntra Men Orange Urban T-shirt,0
25504,Tshirts,Doodle Kids Boys Soccer Blue T-Shirt,0
14729,Tshirts,Ed Hardy Men Don.Ed White Tshirts,0
40057,Tshirts,ADIDAS Men Blue Printed T-shirt,0
2307,Tshirts,Nike Women Purple Polo T-shirt,0
26479,Tshirts,Puma Men Ferrari Black Polo T-shirt,0
11363,Tshirts,United Colors of Benetton Men Solid Black Tshirt,0
38494,Tshirts,Gini and Jony Boys United Green T-shirt,0
24911,Tshirts,United Colors of Benetton Kids Boys Grey Printed T-shirt,0
19581,Tshirts,United Colors of Benetton Men Printed White Tshirt,0
1762,Tshirts,Lotto Women Cathy Blue T-shirt,0
27444,Tshirts,Jockey Women Black T-shirt,0
26246,Tshirts,Proline Men Green Polo Tshirt,0
40153,Tshirts,Gini and Jony Boys Surfs Up Black T-shirt,0
26261,Tshirts,Proline Men Beige Polo Tshirt,0
40267,Tshirts,Scullers Men Striped White T-shirt,0
4780,Tshirts,ADIDAS Women's Balance Pink T-shirt,0
3769,Tshirts,Status Quo Men's Blue Polo T-shirt,0
3991,Tshirts,Mr.Men Men's Wave Rider White T-shirt,0
11778,Tshirts,Lee Men Solid Grey Tshirts,0
29019,Tshirts,ADIDAS Men Color Block Navy Blue T-shirt,0
7006,Tshirts,s.Oliver Men's Sound Rebels Black T-shirt,0
39003,Tshirts,Gini and Jony Boys Unit White T-shirt,0
3863,Tshirts,Wrangler Men's Authentic Embro Olive T-shirt,0
14727,Tshirts,Ed Hardy Men Tiger Print Blue Tshirts,0
16913,Tshirts,Mr. Men Men Printed Grey Tshirt,0
10374,Tshirts,United Colors of Benetton Women Solid Green T-shirt,0
36312,Tshirts,Mr. Men Boys Mr. Rude Navy Blue T-shirt,0
36001,Tshirts,Ben 10 Boys Crew Orange T-shirt,0
17497,Tshirts,Classic Polo Men Stripes Grey Polo T-Shirt,0
8275,Tshirts,Mr.Men Men's Coral Red T-shirt,0
3713,Tshirts,Lee Men Green Polo T-shirt,0
2243,Tshirts,ADIDAS Men Stripe Polo White Polo T-shirt,0
16191,Tshirts,Puma Men Graphic White TShirt,0
7450,Tshirts,Proline Men Cream Striped Polo T-shirt,0
46385,Tshirts,ADIDAS Men Green Printed T-shirt,0
8290,Tshirts,Mr.Men Men's Navy Melange T-shirt,0
14101,Tshirts,Flying Machine Men Printed White Tshirts,0
11008,Tshirts,Inkfruit Women Behind Cream Tshirts,0
3845,Tshirts,Wrangler Men's Wild Horse Brown T-shirt,0
3364,Tshirts,Myntra Men's Brain Blue T-shirt,0
8207,Tshirts,Locomotive Men Solid Langworth Red T-Shirts,0
2680,Tshirts,Inkfruit Men's Indian Rule Blue T-shirt,0
2265,Tshirts,Nike Womens NIKE MILER SS TOP T-shirt,0
12847,Tshirts,Ant Kids Boys National Champion Black Tshirts,0
7847,Tshirts,Proline Men Black Round Neck T-shirt,0
30144,Tshirts,Flying Machine Women Printed Black T-shirt,0
5827,Tshirts,ADIDAS Men's Prt Grey T-shirt,0
4251,Tshirts,Probase Men's Crack Print Ghost Buster Grey T-shirt,0
17257,Tshirts,U.S. Polo Assn. Men Printed Black Tshirt,0
19612,Tshirts,United Colors of Benetton Women Solid Blue Tshirt,0
3120,Tshirts,Probase Men's Freestyler Turquoise T-shirt,0
2340,Tshirts,Reebok Men Plum Shiamak Purple T-shirt,0
19789,Tshirts,U.S. Polo Assn. Men Solid Orange Tshirt,0
2062,Tshirts,Lee Mens  T-shirt,0
5506,Tshirts,Nike Women's Yellow Casual T-shirt,0
38645,Tshirts,Nike Men White Jdi City T-Shirt,0
31236,Tshirts,Puma Men Graphic White T-shirt,0
11024,Tshirts,Wrangler Women Purple T-shirt,0
24269,Tshirts,Quiksilver Men Grey Printed T-shirt,0
25921,Tshirts,Femella Women Lime Green T-shirt,0
38637,Tshirts,Nike Men Red Delhi T-shirt,0
5886,Tshirts,Puma Men's Slogan Black T-shirt,0
32464,Tshirts,ADIDAS Men Graphic Black T-shirt,0
19999,Tshirts,United Colors of Benetton Men Solid Black TShirt,0
19110,Tshirts,Campbell Men Pack of 3 Solid Tshirts,0
28928,Tshirts,Mr. Men Printed Charcoal T-shirt,0
34100,Tshirts,Doodle Boys Printed Blue T-shirt,0
38803,Tshirts,Marvel Men Blue Printed T-shirt,0
36737,Tshirts,Spykar Women Cult Green T-shirt,0
7801,Tshirts,Proline Men Navy Polo T-shirt,0
30302,Tshirts,Myntra Men Evil Minds Off White T-shirt,0
7837,Tshirts,Proline Men Purple T-shirt,0
3519,Tshirts,Myntra Men's I have Multiple Personalities White T-shirt,0
5153,Tshirts,Wrangler Women's Side Paisley White T-shirt,0
58734,Tshirts,PUMA Men Red Printed T-shirt,0
9778,Tshirts,ADIDAS Men  White Polo Tshirts,0
4042,Tshirts,Rajasthan Royals Kids Authentic Replica Cricket Jersey,0
14922,Tshirts,Mr. Men Men Sleep Placid Blue Tshirts,0
29352,Tshirts,Probase Men Navy Blue Printed T-shirt,0
33206,Tshirts,Sepia Women Printed Green T-shirt,0
34403,Tshirts,Myntra Men Back To The 70s Black T-shirt,0
2683,Tshirts,Inkfruit Men's Red And Black T-shirt,0
53774,Tshirts,Puma Men White T-shirt,0
52148,Tshirts,Femella Women Red Polo T-Shirt,0
7004,Tshirts,s.Oliver Men's What Up Cracker Blue T-shirt,0
3792,Tshirts,Basics Men Navy & White Striped Polo T-shirt,0
9827,Tshirts,Little Miss Women Printed White T-shirt,0
51473,Tshirts,Denizen Men Red Printed T-shirt,0
5100,Tshirts,Wrangler Men's Cowboy Color Yellow T-shirt,0
2974,Tshirts,Puma Women's Heroes Green T-shirt,0
33310,Tshirts,Jack & Jones Men White & Green Polo T-shirt,0
10377,Tshirts,United Colors of Benetton Men Printed White Tshirts,0
10840,Tshirts,Wrangler Men Green Polo T-shirt,0
7954,Tshirts,Puma Men's Knit Polo Mazarine Blue Polo T-shirt,0
10499,Tshirts,Flying Machine Women Aspen Yellow Tshirts,0
22631,Tshirts,Nike Women Printed Pink T-shirt,0
7447,Tshirts,Proline Men Orange Polo T-shirt,0
23179,Tshirts,Mark Taylor Men Yellow Printed T-shirt,0
17613,Tshirts,Doodle Boys Catch Me Red Tshirt,0
31273,Tshirts,Puma Men Calonge Graphic Green T-shirt,0
43085,Tshirts,Nike Women Yellow Polo Neck T-shirt,0
11406,Tshirts,United Colors Of Benetton Men Light Winter Blue T-Shirts,0
5097,Tshirts,Wrangler Men's Hand Of Quality White T-shirt,0
38586,Tshirts,Nike Women Pink Crew T-shirt,0
48257,Tshirts,The Amazing Spiderman Boys Red T-shirt,0
3529,Tshirts,Myntra Men's Ear Plugs Navy Blue T-shirt,0
3073,Tshirts,Tantra Women's Cut Crap Chocolate T-shirt,0
6572,Tshirts,Nike Men's Challenger Logo Black T-shirt,0
10822,Tshirts,Wrangler Men Navy Blue Polo Tshirts,0
9984,Tshirts,Nike Men As Value Runn Green T-Shirts,0
1814,Tshirts,Solognac Men Chocolate Brown  T-shirt,0
22611,Tshirts,Nike Men Green Jersey,0
4203,Tshirts,Disney Kids Boy's Blue Regatta Annual Competition Kidswear,0
37272,Tshirts,Tantra Men Black Angry Anna T-shirt,0
4391,Tshirts,Free Authority Men's Bikes Grey Violet T-shirt,0
9556,Tshirts,Nike Men Asem Cricket Swoosh Black T-Shirts,0
26471,Tshirts,Puma Men Classic Graphic  Navy Blue T-shirt,0
17513,Tshirts,Classic Polo Men Stripes Black Polo T-Shirt,0
3778,Tshirts,Status Quo Men's Green Polo T-shirt,0
3706,Tshirts,Classic Polo Men's Grey Red & Brown Stripe T-shirt,0
39067,Tshirts,Arrow Sport Men Green T-shirt,0
54940,Tshirts,Do u speak green Women Burgundy T-shirt,0
7784,Tshirts,Proline Men Black Polo T-shirt,0
3520,Tshirts,Myntra Men's Reaching The Moon Black T-shirt,0
32438,Tshirts,ADIDAS Men Tank Blue T-shirt,0
18631,Tshirts,Puma Men GP Speed Navy Blue Tshirts,0
2047,Tshirts,ADIDAS Men's Navy Blue T-shirt,0
4208,Tshirts,Disney Kids Boy's Red Geo Team Kidswear,0
3044,Tshirts,Tantra Men's Freddie Blue T-shirt,0
4190,Tshirts,Disney Kids Boy's Yellow Little Friends Kidswear,0
10690,Tshirts,Doodle Boy Mummy daddy me Yellow Tshirts,0
2041,Tshirts,ADIDAS Mens Fire Grey T-shirt,0
24042,Tshirts,Locomotive Men Printed Black T-shirt,0
18931,Tshirts,Levi's Men Graphic Print Blue Tshirt,0
6996,Tshirts,Classic Polo Men's State Athletic Brown T-shirt,0
15200,Tshirts,Arrow Sport Men Stripes Yellow Polo Tshirts,0
4864,Tshirts,ADIDAS Men Real Madrid White Jersey,0
40138,Tshirts,Gini and Jony Boys Under The Sun Yellow T-shirt,0
4843,Tshirts,Sher Singh Women's Black Polo T-shirt,0
22796,Tshirts,Manchester United Men Green Tshirt,0
33955,Tshirts,ADIDAS Men Polo White T-shirt,0
3285,Tshirts,Guerrilla Men's Move It Move On Green T-shirt,0
43498,Tshirts,French Connection Men Grey Melange T-shirt,0
12629,Tshirts,Probase Men Printed Red Tshirts,0
4313,Tshirts,Tantra Kid's Unisex Elephant Pink Kidswear,0
3945,Tshirts,Jealous 21 Women's White Little Mousie T-shirt,0
37984,Tshirts,Classic Polo Men Black & White T-Shirt,0
7441,Tshirts,Proline Men Grey Striped T-shirt,0
26263,Tshirts,Proline Men Blue Polo T-Shirt,0
26497,Tshirts,Puma Men Drips White T-shirt,0
15475,Tshirts,Puma Men Logo Blue Tshirts,0
43503,Tshirts,French Connection Men Green T-shirt,0
15000,Tshirts,ADIDAS Men Solid White Tshirts,0
16320,Tshirts,Peter England Men Printed Green TShirt,0
2343,Tshirts,Reebok Men Basil Green & Blue Polo T-shirt,0
38595,Tshirts,Nike Women Printed Scoop Lavender T-shirt,0
7127,Tshirts,Urban Yoga Men's Orange T-shirt,0
5884,Tshirts,Puma Women Classic Black Top,0
22367,Tshirts,Ed Hardy Men Vintage  Brick Red T-Shirt,0
18847,Tshirts,Puma Men College  Athletic White  Tshirt,0
2984,Tshirts,Puma Men's Power Cat Graphic Red T-shirt,0
11997,Tshirts,Classic Polo Men Stripes Green Tshirts,0
44883,Tshirts,Puma Men Grey Striped Polo T-shirt,0
27392,Tshirts,2go Active Gear USA Men Pack Of 3 T-shirt,0
19400,Tshirts,ADIDAS Men Navy Blue T-shirt,0
2154,Tshirts,Basics Men Red & Grey Polo T-shirt,0
12634,Tshirts,Probase Men Printed Maroon Tshirts,0
58730,Tshirts,Puma Women Green T-shirt,0
48073,Tshirts,French Connection Men Grey T-shirt,0
48450,Tshirts,French Connection Men Grey T-shirt,0
6610,Tshirts,Spykar Men's Stinger Basket Ball Team White Blue Stripes T-shirt,0
53782,Tshirts,Puma Men Navy Blue T-shirt,0
38641,Tshirts,Nike Men Red Bangalore Polo T-shirt,0
5489,Tshirts,Mr.Men Men's Grumpy Purple T-shirt,0
2348,Tshirts,Reebok Men Basketball Blue T-shirt,0
14062,Tshirts,Flying Machine Men Stripes Grey Polo Tshirts,0
3868,Tshirts,Wrangler Men's Cowboy Photo White T-shirt,0
14312,Tshirts,ADIDAS Men Solid Green Jerseys,0
17848,Tshirts,Flying Machine Women Mind Your White Tshirt,0
5834,Tshirts,Puma Men's Pop Graphic White T-shirt,0
13707,Tshirts,Proline Mens Solid Red Polo Tshirt,0
48081,Tshirts,French Connection Men Red T-shirt,0
15342,Tshirts,Nike Women Printed Pink Tshirts,0
40985,Tshirts,Gini and Jony Boys United White T-shirt,0
9539,Tshirts,Nike Men Asss Crusier Graphic Blue T-Shirts,0
8206,Tshirts,Locomotive Men Solid Langston Brown T-Shirts,0
3530,Tshirts,Myntra Men's Turn Me On Black T-shirt,0
20192,Tshirts,Wrangler Men Polo White T-shirt,0
10372,Tshirts,United Colors of Benetton Men Printed Beige Tshirts,0
18861,Tshirts,Puma Men Grafitti Red Polo Tshirt,0
5122,Tshirts,Wrangler Women's Striped Peach T-shirt,0
3129,Tshirts,Inkfruit Men's Ahimsa Grey T-shirt,0
7268,Tshirts,Batman Men's Dripping Turq Blue T-shirt,0
19153,Tshirts,United Colors of Benetton Men Red Polo TShirt,0
16314,Tshirts,Peter England Men Printed Purple TShirt,0
7925,Tshirts,Proline Men Navy Polo T-shirt,0
16634,Tshirts,Facit Men Smart Green Tshirt,0
13500,Tshirts,Chimp Men VVVIP Grey T-shirts,0
13892,Tshirts,Nike Men Team India Special Edition Three Star Blue Jersey,0
13497,Tshirts,Chimp Men Rajni Blue Tshirts,0
38151,Tshirts,Wildcraft Men Black T Poly Crew T-shirt,0
9558,Tshirts,Nike Men Black Black Tshirts,0
33586,Tshirts,Wrangler Men Timeless Lifestyle Purple T-shirt,0
52072,Tshirts,Myntra Men Blue T-shirt,0
4237,Tshirts,Probase Men's Big Sound Red Tshirt,0
2153,Tshirts,Basics Men Blue & Yellow Polo T-shirt,0
3016,Tshirts,Lee Men's Bottle Grey T-shirt,0
30330,Tshirts,Myntra Men Under Medicated Black T-shirt,0
3935,Tshirts,Jealous 21 Women's Yellow Miss T-shirt,0
29246,Tshirts,ADIDAS Men Orlando Blue Jersey,0
15001,Tshirts,ADIDAS Men Stripes Navy Blue Polo Tshirts,0
4205,Tshirts,Disney Kids Boy's Red Mickey Since 1928 Tee Kidswear,0
17234,Tshirts,U.S. Polo Assn. Men  Golden Haze Polo  Tshirt,0
6220,Tshirts,Lee Men's Believe Burnt Orange T-shirt,0
37544,Tshirts,Madagascar3 Infant Boys Light Blue T-Shirt,0
3260,Tshirts,Guerrilla Men's Heroes Needed White T-shirt,0
1889,Tshirts,Fifa Men Essentials Navy Blue T-shirt,0
10565,Tshirts,Puma Men Heritage Black Polo Tshirts,0
44867,Tshirts,Puma Men Green Graphic Story T-shirt,0
6022,Tshirts,UCB Men's Johny Collar With Two Tone Black T-shirt,0
37719,Tshirts,John Players Men Polo Blue T-shirt,0
15606,Tshirts,Nike Men Training Grey Tshirts,0
23873,Tshirts,ADIDAS Men Blue T-shirt,0
2324,Tshirts,Reebok Men Sleeveless Black T-shirt,0
12928,Tshirts,Classic Polo Men Rugby Kingdom Blue Tshirts,0
5094,Tshirts,Wrangler Men's Reverse Print Brown T-shirt,0
38492,Tshirts,Gini and Jony Boys Core Yellow T-shirt,0
52053,Tshirts,Myntra Men Black T-shirt,0
19992,Tshirts,United Colors of Benetton Men Printed White TShirt,0
31465,Tshirts,Nike Men Training Blue T-shirt,0
8606,Tshirts,Scullers Men Red Polo T-Shirts,0
43696,Tshirts,Doodle Boys Printed Yellow T-shirt,0
53307,Tshirts,Locomotive Men White T-shirt,0
44857,Tshirts,Puma Men Black T-shirt,0
34260,Tshirts,Gini and Jony Boys Printed Red T-shirt,0
16290,Tshirts,Peter England Men Stripes Yellow Polo T-Shirt,0
9989,Tshirts,Nike Men As Ss Cruiser Black T-Shirts,0
11736,Tshirts,Lee Men Stripes Maroon T-shirt,0
17940,Tshirts,Puma Men Heroes T7 Green Tshirt,0
7947,Tshirts,Puma Men's Graphic White Navy T-shirt,0
58459,Tshirts,Madagascar 3 Boys Navy Blue T-shirt,0
5427,Tshirts,Ant Kids Boy's Red Cartoon Pop Kidswear,0
28518,Tshirts,Nike Men Training Navy Blue T-shirt,0
14097,Tshirts,Flying Machine Men Blue Polo Tshirts,0
5486,Tshirts,Ant Kids Boy's Whats Up Navy Kidswear,0
34170,Tshirts,Gini and Jony Boys Printed Blue T-shirt,0
44893,Tshirts,Puma Men Grey Honeycomb Polo T-shirt,0
19784,Tshirts,U.S. Polo Assn. Men Solid Green Tshirt,0
40135,Tshirts,Gini and Jony Boys Aviator White T-shirt,0
18238,Tshirts,Manchester United Men Printed White Tshirt,0
10882,Tshirts,Wrangler Men Blue American Photo Print T-shirt,0
6985,Tshirts,s.Oliver Men's Denim Dstrct White T-shirt,0
4191,Tshirts,Disney Kids Boy's Green Little Friends Kidswear,0
2267,Tshirts,Nike Pink Women T-shirt,0
32954,Tshirts,Angry Birds Men Printed Black T-shirt,0
1886,Tshirts,FIFA Mens Red Card Grey T-shirt,0
40067,Tshirts,ADIDAS Men Yellow T-shirt,0
8268,Tshirts,Mr.Men Men's Charcoal White T-shirt,0
19614,Tshirts,United Colors of Benetton Women White T-shirt,0
24054,Tshirts,Locomotive Men Printed Blue T-shirt,0
2973,Tshirts,Puma Men's Heroes Yellow T-shirt,0
6543,Tshirts,Nike Men's Training Black White T-shirt,0
10376,Tshirts,United Colors of Benetton Men Printed Blue Tshirts,0
5492,Tshirts,Mr.Men Men's Cool Indigo T-shirt,0
4891,Tshirts,Levis Kids Girl's Diaz Pink Polo Tshirt,0
17266,Tshirts,U.S. Polo Assn. Men Stripes Green  polo Tshirt,0
10024,Tshirts,Nike Women As Make Yours Black T-Shirts,0
7355,Tshirts,Tantra Men's Black Sabbath Navy T-shirt,0
19424,Tshirts,Quiksilver Men Printed Green T-shirt,0
5446,Tshirts,Nike Men's Training Blue T-shirt,0
28619,Tshirts,Nike Men Team Reversible White T-shirt,0
2601,Tshirts,ADIDAS Men's Red Stripe T-shirt,0
3874,Tshirts,Wrangler Men's Trademark Washed Blue T-shirt,0
4720,Tshirts,Disney Kids Girl's Fun In The Fair Yellow Teen Kidswear,0
3416,Tshirts,Myntra Mens Broken Guitar T-shirt,0
22227,Tshirts,Little Miss Women Sunshine Pink T-shirt,0
17262,Tshirts,U.S. Polo Assn. Men Stripes Dk.Grey Polo Tshirt,0
32638,Tshirts,Nike Men Epaulet UV Crew Blue T-shirt,0
3777,Tshirts,Status Quo Men's Fushia Polo T-shirt,0
6105,Tshirts,UCB Women's Basic V Neck White T-shirt,0
48400,Tshirts,French Connection Men White T-shirt,0
3207,Tshirts,Tantra Women's Tiger Black T-shirt,0
17936,Tshirts,Puma Men Ferrari Logo Tee II Black Tshirt,0
19753,Tshirts,Levi's Men Solid Red Tshirt,0
21224,Tshirts,Basics Men Brown Printed T-shirt,0
3045,Tshirts,Tantra Men's Tiger Black T-shirt,0
5202,Tshirts,Marvel Men's Hulk Big Face Light Green T-shirt,0
2025,Tshirts,ADIDAS Mens Full Grey T-shirt,0
34382,Tshirts,Myntra Men Red Banana T-shirt,0
11735,Tshirts,Lee Men Stripes Blue T-shirt,0
19798,Tshirts,U.S. Polo Assn. Men Striped Grey T-shirt,0
33948,Tshirts,ADIDAS Men Blue Polo T-shirt,0
35877,Tshirts,Marvel Boys Comics Yellow T-shirt,0
